month,avg_dau,avg_d1_retention,mau
2017-07,81.35483870967742,0.29767042679927025,1148
2017-08,81.7741935483871,0.2985990821549552,1124
2017-09,72.16666666666667,0.26562837255409316,1018
2017-10,69.74193548387096,0.27637531159140366,962
2017-11,64.86666666666666,0.29976449929905785,836
2017-12,65.51612903225806,0.2792965191211479,879
2018-01,64.96774193548387,0.28471898967938525,906
2018-02,68.67857142857143,0.28900594132120905,896
2018-03,67.06451612903226,0.2659948048140021,985
2018-04,76.4,0.3003957701870695,1071
2018-05,78.16129032258064,0.29509094552070986,1112
2018-06,69.66666666666667,0.272099670991369,983
2018-07,81.83870967741936,0.2891053340512216,1146
2018-08,78.06451612903226,0.312800019735861,1050
2018-09,68.26666666666667,0.28760929738563795,890
2018-10,75.87096774193549,0.3011821818319643,1069
2018-11,68.13333333333334,0.3081419960200946,937
2018-12,69.12903225806451,0.2833050196697149,1016
2019-01,83.58064516129032,0.3066276227055711,1171
2019-02,78.21428571428571,0.295751386207417,1043
2019-03,72.70967741935483,0.296801916650504,1063
2019-04,72.16666666666667,0.2662479677471151,1057
2019-05,84.6774193548387,0.2741204376210607,1252
2019-06,70.53333333333333,0.27690111532070394,1007
2019-07,72.87096774193549,0.28398549853266725,1072
2019-08,74.80645161290323,0.2902484144938478,1068
2019-09,76.26666666666667,0.3342551185907686,1011
2019-10,60.96774193548387,0.3140168183657785,822
2019-11,60.06666666666667,0.2968331090046442,807
2019-12,62.83870967741935,0.31212345157276883,842
2020-01,72.93548387096774,0.29064146401449226,998
2020-02,66.58620689655173,0.2858442329992988,888
2020-03,51.41935483870968,0.2941243193696271,703
2020-04,32.4,0.26726003911767227,437
2020-05,25.903225806451612,0.27844852851559126,360
2020-06,30.666666666666668,0.2802311136988716,403
2020-07,36.064516129032256,0.2798063320193671,483
2020-08,32.41935483870968,0.3118865193469148,410
2020-09,27.066666666666666,0.3046436118622345,351
2020-10,28.322580645161292,0.25299920883067994,377
2020-11,20.466666666666665,0.22007149186514272,316
2020-12,27.774193548387096,0.2770666134545525,396
2021-01,30.516129032258064,0.2569072633148515,434
2021-02,22.607142857142858,0.24041917085992998,291
2021-03,25.35483870967742,0.2584207206643295,330
2021-04,24.733333333333334,0.27018080796642285,342
2021-05,28.93548387096774,0.2851422885459934,394
2021-06,30.8,0.27877241661961116,407
2021-07,29.06451612903226,0.24714101160399982,420
2021-08,31.483870967741936,0.2651086068388004,453
2021-09,29.633333333333333,0.2747712471184027,411
2021-10,32.12903225806452,0.2579082050482938,437
2021-11,29.766666666666666,0.2747019211424452,397
2021-12,27.322580645161292,0.2671817606154559,388
2022-01,28.35483870967742,0.27944669409436407,396
2022-02,24.714285714285715,0.25153383835444804,335
2022-03,29.967741935483872,0.3213909470566634,386
2022-04,28.533333333333335,0.2602954837331069,392
2022-05,28.806451612903224,0.2843570652612835,410
2022-06,38.63333333333333,0.2555753061848113,514
